2020-04-30 19:33:07.5349|ERROR|MailSender|System.Net.Mail.SmtpException: Failure sending mail. ---> System.Net.WebException: The remote name could not be resolved: 'smtp.gmail.com'
   at System.Net.ServicePoint.GetConnection(PooledStream PooledStream, Object owner, Boolean async, IPAddress& address, Socket& abortSocket, Socket& abortSocket6)
   at System.Net.PooledStream.Activate(Object owningObject, Boolean async, GeneralAsyncDelegate asyncCallback)
   at System.Net.PooledStream.Activate(Object owningObject, GeneralAsyncDelegate asyncCallback)
   at System.Net.ConnectionPool.GetConnection(Object owningObject, GeneralAsyncDelegate asyncCallback, Int32 creationTimeout)
   at System.Net.Mail.SmtpConnection.GetConnection(ServicePoint servicePoint)
   at System.Net.Mail.SmtpTransport.GetConnection(ServicePoint servicePoint)
   at System.Net.Mail.SmtpClient.GetConnection()
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   --- End of inner exception stack trace ---
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   at MailSender.SendMail(String subject, String body, String[] toMails) in G:\project\My\LearnBug\Services\MailSender.cs:line 36
2020-04-30 19:33:08.7491|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:08.7731|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:13.7997|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:13.8197|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:18.8427|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:18.8547|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:23.8818|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:23.8938|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:29.0083|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:29.0083|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:33.3340|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 heartbeat successfully sent
2020-04-30 19:33:33.3340|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 waiting for 00:00:30 delay before sending a heartbeat
2020-04-30 19:33:34.0371|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:34.0371|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:39.0625|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:39.0781|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:44.0941|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:44.0941|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:49.1244|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:49.1556|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:54.2805|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:54.2961|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:33:59.3159|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:33:59.3319|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:03.4062|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 heartbeat successfully sent
2020-04-30 19:34:03.4222|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 waiting for 00:00:30 delay before sending a heartbeat
2020-04-30 19:34:04.3783|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:04.4102|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:09.4552|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:09.4708|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:14.4950|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:14.4950|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:19.5178|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:19.5378|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:24.6026|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:24.6259|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:29.6437|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:29.6637|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:33.4646|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 heartbeat successfully sent
2020-04-30 19:34:33.4802|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 waiting for 00:00:30 delay before sending a heartbeat
2020-04-30 19:34:34.6991|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:34.6991|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:39.7211|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:39.7491|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:44.7839|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:44.7995|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:49.8154|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:49.8467|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:54.8671|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:54.8671|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:34:59.8830|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:34:59.8830|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:35:03.5239|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 heartbeat successfully sent
2020-04-30 19:35:03.5395|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 waiting for 00:00:30 delay before sending a heartbeat
2020-04-30 19:35:04.8990|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:35:04.9146|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:35:09.9879|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:35:10.0973|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:35:15.2070|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:35:15.2851|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:35:21.4574|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:35:21.4887|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:35:26.6140|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:35:26.6296|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:35:31.7360|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-04-30 19:35:31.7760|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-04-30 19:35:33.7149|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 heartbeat successfully sent
2020-04-30 19:35:33.7306|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:8564:65080956 waiting for 00:00:30 delay before sending a heartbeat
